
Nucleus Position
 ==================== 
Nucleus Position X,Nucleus Position Y,Nucleus Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
36197.1,62436.1,-13.6429,um,Nucleus,Nucleus Position,1,ATM,4,100000001,
36230.5,62425.6,-7.74448,um,Nucleus,Nucleus Position,1,ATM,6,100000003,
36239,62366.8,7.5809,um,Nucleus,Nucleus Position,1,TVC,9,100000006,
36239.9,62360.4,11.1681,um,Nucleus,Nucleus Position,1,TVC,10,100000007,
36242.4,62373.8,11.5924,um,Nucleus,Nucleus Position,1,TVC,11,100000008,
