
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
59.4023,um,Surface,1,ATMgroup,0,
23.0794,um,Surface,1,TVCgroup,2,
