
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,ID,
14.51,um,Surface,1,TVCgroup,0,
12.9417,um,Surface,1,ATMgroup,4,
