
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
0.0215623,-0.0464994,-0.998686,um,Surface,Ellipsoid Axis B,1,ATMgroup,0,
-0.574128,0.0531602,0.817038,um,Surface,Ellipsoid Axis B,1,TVCgroup,1,
