
Nucleus Distance from Position to Cell Membrane
 ==================== 
Nucleus Distance from Position to Cell Membrane,Unit,Category,Time,Default Labels,CellID,ID,
6.10057,um,Nucleus,1,ATM,0,100000000,
5.69263,um,Nucleus,1,ATM,1,100000001,
4.60874,um,Nucleus,1,TVC,2,100000002,
4.18177,um,Nucleus,1,TVC,3,100000003,
3.42543,um,Nucleus,1,TVC,4,100000004,
3.58492,um,Nucleus,1,TVC,5,100000005,
