
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.620724,,Cell,1,ATM,0,
0.673241,,Cell,1,ATM,1,
0.261814,,Cell,1,TVC,2,
0.237052,,Cell,1,TVC,3,
0.36481,,Cell,1,TVC,4,
0.521995,,Cell,1,TVC,5,
