
Cell Volume
 ==================== 
Cell Volume,Unit,Category,Time,Default Labels,ID,
835.357,um^3,Cell,1,TVC,2,
1382.54,um^3,Cell,1,TVC,3,
766.175,um^3,Cell,1,TVC,4,
598.069,um^3,Cell,1,TVC,5,
3774.68,um^3,Cell,1,ATM,10,
2698.61,um^3,Cell,1,ATM,11,
