
Shortest Distance to Surfaces Surfaces=Cells 2 Cell Export 5
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,Default Labels,ID,
38.4066,um,Surface,Cells 2 Cell Export 5,1,TVCgroup,0,
0,um,Surface,Cells 2 Cell Export 5,1,ATMgroup,1,
