
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
34517.7,62229.1,81.747,um,Cell,Cell Center of Homogeneous Mass,1,ATM,1,
34496.6,62265.5,94.1424,um,Cell,Cell Center of Homogeneous Mass,1,ATM,3,
34410.9,62302.6,88.5977,um,Cell,Cell Center of Homogeneous Mass,1,TVC,2,
34424.7,62299.6,91.8692,um,Cell,Cell Center of Homogeneous Mass,1,TVC,4,
34415.9,62302.9,97.0808,um,Cell,Cell Center of Homogeneous Mass,1,TVC,5,
34409.8,62309.2,97.047,um,Cell,Cell Center of Homogeneous Mass,1,TVC,6,
