
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
42747.1,79918.6,45.663,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,5,
42719.3,79906.1,55.2758,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,6,
42777.9,79970.5,18.3561,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,0,
42759.4,79975.9,20.659,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,1,
42766.5,79968.3,21.4385,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,2,
42763.8,79981.5,21.9885,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,3,
