
Cell Distance to Image Border XYZ Img=1
 ==================== 
Cell Distance to Image Border XYZ,Unit,Category,Image,Time,Default Labels,ID,
2.11716,um,Cell,Image 1,1,TVC,0,
4.23432,um,Cell,Image 1,1,TVC,1,
4.65775,um,Cell,Image 1,1,TVC,2,
4.65775,um,Cell,Image 1,1,TVC,3,
12.703,um,Cell,Image 1,1,ATM,5,
5.08118,um,Cell,Image 1,1,ATM,6,
