
Nucleus Center of Image Mass Ch=1 Img=1
 ==================== 
Nucleus Center of Image Mass X,Nucleus Center of Image Mass Y,Nucleus Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,CellID,ID,
42746.6,79918,46.0169,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,5,100000005,
42720.1,79906.3,55.1547,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,ATM,6,100000006,
42777.3,79970.3,18.0159,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,0,100000000,
42760,79976.1,19.6545,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,1,100000001,
42766.3,79968.6,20.7119,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,2,100000002,
42763.3,79981,21.4097,um,Nucleus,1,Nucleus Center of Image Mass,Image 1,1,TVC,3,100000003,
