
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,Default Labels,ID,
0.457276,,Cell,1,TVC,4,
0.259537,,Cell,1,TVC,5,
0.569856,,Cell,1,TVC,6,
0.423744,,Cell,1,TVC,8,
0.495055,,Cell,1,ATM,10,
0.602385,,Cell,1,ATM,11,
