
Nucleus Center of Homogeneous Mass
 ==================== 
Nucleus Center of Homogeneous Mass X,Nucleus Center of Homogeneous Mass Y,Nucleus Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
37396.2,56955.8,117.984,um,Nucleus,Nucleus Center of Homogeneous Mass,1,ATM,4,100000004,
37379.2,56968,118.761,um,Nucleus,Nucleus Center of Homogeneous Mass,1,ATM,5,100000005,
37435.6,56960.8,85.7813,um,Nucleus,Nucleus Center of Homogeneous Mass,1,TVC,0,100000000,
37427.4,56948.2,88.1545,um,Nucleus,Nucleus Center of Homogeneous Mass,1,TVC,1,100000001,
37419.4,56952.8,91.6519,um,Nucleus,Nucleus Center of Homogeneous Mass,1,TVC,2,100000002,
37425.1,56965.8,92.5141,um,Nucleus,Nucleus Center of Homogeneous Mass,1,TVC,3,100000003,
