
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
36490.4,58395.4,168.274,um,Surface,2,Center of Image Mass,Image 1,1,ATM,0,
36479,58311.7,156.733,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,1,
