
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
45.8499,um,Surface,1,ATMgroup,0,
17.3099,um,Surface,1,TVCgroup,2,
