
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.93853,um,Surface,1,ATMgroup,0,
8.41306,um,Surface,1,TVCgroup,1,
