
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
38863.3,73504.7,53.9304,um,Surface,Center of Homogeneous Mass,1,ATMgroup,4,
38913.1,73556.7,85.1551,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
