
Shortest Distance to Surfaces Surfaces=Cells 1 Cell Export 3
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,Default Labels,ID,
0,um,Surface,Cells 1 Cell Export 3,1,ATMgroup,0,
19.1435,um,Surface,Cells 1 Cell Export 3,1,TVCgroup,2,
