
Cell Center of Homogeneous Mass
 ==================== 
Cell Center of Homogeneous Mass X,Cell Center of Homogeneous Mass Y,Cell Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37729.8,61771.8,33.1926,um,Cell,Cell Center of Homogeneous Mass,1,TVC,3,
37717.6,61760.7,36.179,um,Cell,Cell Center of Homogeneous Mass,1,TVC,7,
37719,61774.5,37.0355,um,Cell,Cell Center of Homogeneous Mass,1,TVC,8,
37708,61771.5,39.7151,um,Cell,Cell Center of Homogeneous Mass,1,TVC,9,
37689.3,61768.8,45.2677,um,Cell,Cell Center of Homogeneous Mass,1,TVC,11,
