
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
45106.6,93993.4,51.2151,um,Surface,Center of Homogeneous Mass,1,ATMgroup,2,
45160.5,93951.2,36.766,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
