
Nucleus Position
 ==================== 
Nucleus Position X,Nucleus Position Y,Nucleus Position Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
37388.4,55112.3,-47.9801,um,Nucleus,Nucleus Position,1,ATM,3,100000003,
37451.4,55135,-45.5314,um,Nucleus,Nucleus Position,1,ATM,4,100000004,
37445.5,55196.2,-56.6477,um,Nucleus,Nucleus Position,1,TVC,0,100000000,
37448.6,55206.7,-61.0693,um,Nucleus,Nucleus Position,1,TVC,1,100000001,
37451.4,55208.1,-52.5338,um,Nucleus,Nucleus Position,1,TVC,2,100000002,
