
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,Default Labels,ID,
840.363,um^2,Cell,1,TVC,6,
1411.19,um^2,Cell,1,TVC,8,
1343.6,um^2,Cell,1,TVC,9,
1401.62,um^2,Cell,1,TVC,10,
1124.36,um^2,Cell,1,ATM,11,
1548.74,um^2,Cell,1,ATM,12,
1219.84,um^2,Cell,1,ATM,13,
1944.87,um^2,Cell,1,ATM,14,
