
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.04965,um,Cell,1,ATM,0,
7.36622,um,Cell,1,TVC,1,
6.49478,um,Cell,1,TVC,2,
6.37703,um,Cell,1,TVC,3,
6.80944,um,Cell,1,TVC,4,
4.36446,um,Cell,1,TVC,5,
6.31893,um,Cell,1,TVC,7,
