
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,Default Labels,ID,
37202.1,56644.6,-15.0897,um,Surface,Center of Homogeneous Mass,1,ATM,4,
37208,56611.8,0.794734,um,Surface,Center of Homogeneous Mass,1,TVCgroup,0,
