
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
17.2871,27.2788,54.9258,um,Surface,BoundingBoxOO Length,1,ATMgroup,0,
16.6387,20.5742,53.9189,um,Surface,BoundingBoxOO Length,1,TVCgroup,2,
