
Cell Center of Image Mass Ch=1 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
38871.9,69732.5,60.7908,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,1,
38883.9,69747.8,57.0465,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,2,
38895,69759.4,55.2253,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,3,
38905.6,69803.6,75.6003,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,4,
38910,69794.4,76.834,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,5,
38908.2,69810.4,80.3247,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,6,
38909.7,69799.8,83.0131,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,7,
