
Nucleus Distance from Position to Cell Membrane
 ==================== 
Nucleus Distance from Position to Cell Membrane,Unit,Category,Time,Default Labels,CellID,ID,
2.37691,um,Nucleus,1,TVC,0,100000000,
2.79995,um,Nucleus,1,TVC,1,100000001,
3.30173,um,Nucleus,1,TVC,2,100000002,
4.02094,um,Nucleus,1,TVC,3,100000003,
3.95741,um,Nucleus,1,ATM,4,100000004,
4.86504,um,Nucleus,1,ATM,5,100000005,
