
Cell BoundingBoxAA Length
 ==================== 
Cell BoundingBoxAA Length X,Cell BoundingBoxAA Length Y,Cell BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,ID,
28.1133,27.5469,20.7713,um,Cell,Cell BoundingBoxAA Length,1,ATM,4,
33.2266,40.8906,23.7386,um,Cell,Cell BoundingBoxAA Length,1,ATM,5,
12.4961,12.2109,10.5976,um,Cell,Cell BoundingBoxAA Length,1,TVC,0,
19.0273,11.9219,9.74977,um,Cell,Cell BoundingBoxAA Length,1,TVC,1,
23.5703,18.4609,11.8693,um,Cell,Cell BoundingBoxAA Length,1,TVC,2,
22.7188,24.9844,12.7171,um,Cell,Cell BoundingBoxAA Length,1,TVC,3,
