
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
45.5353,um,Surface,1,ATMgroup,0,
14.0215,um,Surface,1,TVCgroup,2,
