
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
46385.2,66206.9,46.8726,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,4,
46451.9,66181.9,10.6174,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
