
Cell Ellipsoid Axis A
 ==================== 
Cell Ellipsoid Axis A X,Cell Ellipsoid Axis A Y,Cell Ellipsoid Axis A Z,Unit,Category,Collection,Time,Default Labels,ID,
0.684391,-0.726661,-0.0597753,um,Cell,Cell Ellipsoid Axis A,1,ATM,12,
0.577814,-0.647527,0.49683,um,Cell,Cell Ellipsoid Axis A,1,ATM,13,
-0.753314,-0.478245,-0.451443,um,Cell,Cell Ellipsoid Axis A,1,TVC,8,
0.845534,0.532841,0.0339439,um,Cell,Cell Ellipsoid Axis A,1,TVC,9,
-0.804908,-0.21814,0.55185,um,Cell,Cell Ellipsoid Axis A,1,TVC,10,
0.403508,0.691949,0.598655,um,Cell,Cell Ellipsoid Axis A,1,TVC,11,
