
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
6642.26,um^3,Cell,1,ATM,0,
2435.37,um^3,Cell,1,TVC,1,
1914.79,um^3,Cell,1,TVC,2,
708.392,um^3,Cell,1,TVC,3,
2981.43,um^3,Cell,1,TVC,4,
1181.78,um^3,Cell,1,TVC,6,
