
Cell BoundingBoxOO Length
 ==================== 
Cell BoundingBoxOO Length A,Cell BoundingBoxOO Length B,Cell BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
13.0343,21.8169,49.7626,um,Cell,Cell BoundingBoxOO Length,1,ATM,8,
14.8247,23.0499,44.0904,um,Cell,Cell BoundingBoxOO Length,1,ATM,9,
12.026,11.8526,13.6085,um,Cell,Cell BoundingBoxOO Length,1,TVC,0,
15.0145,18.1604,23.4085,um,Cell,Cell BoundingBoxOO Length,1,TVC,1,
16.2138,17.9184,22.0344,um,Cell,Cell BoundingBoxOO Length,1,TVC,2,
11.249,17.0101,17.5778,um,Cell,Cell BoundingBoxOO Length,1,TVC,3,
