
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
19.4807,24.9863,67.1562,um,Surface,BoundingBoxOO Length,1,ATMgroup,2,
16.7422,19.9707,33.8281,um,Surface,BoundingBoxOO Length,1,TVCgroup,0,
