
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
35257.7,50784.4,29.6519,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,4,
35307.3,50772,11.0979,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
