
Cell Nucleus to Cytoplasm Volume Ratio
 ==================== 
Cell Nucleus to Cytoplasm Volume Ratio,Unit,Category,Time,Default Labels,ID,
0.0465841,,Cell,1,ATM,0,
0.131729,,Cell,1,TVC,1,
0.102418,,Cell,1,TVC,2,
0.111092,,Cell,1,TVC,3,
0.099093,,Cell,1,TVC,4,
0.0901038,,Cell,1,ATM,5,
