
Nucleus Ellipsoid Axis Length A
 ==================== 
Nucleus Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,CellID,ID,
2.27785,um,Nucleus,1,TVC,5,100000005,
2.39545,um,Nucleus,1,TVC,6,100000006,
3.9898,um,Nucleus,1,ATM,7,100000007,
4.13832,um,Nucleus,1,ATM,8,100000008,
2.95481,um,Nucleus,1,TVC,9,100000009,
2.60667,um,Nucleus,1,TVC,10,100000010,
