
Nucleus Ellipsoid Axis Length B
 ==================== 
Nucleus Ellipsoid Axis Length B,Unit,Category,Time,Default Labels,CellID,ID,
3.27778,um,Nucleus,1,TVC,0,100000000,
3.65358,um,Nucleus,1,TVC,1,100000001,
2.80677,um,Nucleus,1,TVC,2,100000002,
4.77905,um,Nucleus,1,ATM,3,100000003,
5.61071,um,Nucleus,1,ATM,4,100000004,
2.88016,um,Nucleus,1,TVC,7,100000007,
