
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
7.38715,um,Surface,1,TVCgroup,0,
4.20652,um,Surface,1,ATMgroup,6,
