
Nucleus Ellipsoid Axis Length C
 ==================== 
Nucleus Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,CellID,ID,
4.48744,um,Nucleus,1,TVC,0,100000000,
5.42406,um,Nucleus,1,TVC,3,100000003,
5.42995,um,Nucleus,1,TVC,4,100000004,
5.53344,um,Nucleus,1,TVC,6,100000006,
6.7532,um,Nucleus,1,ATM,8,100000008,
8.59306,um,Nucleus,1,ATM,10,100000010,
