
Cell Center of Image Mass Ch=1 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
37871.4,60584.3,-65.1848,um,Cell,1,Cell Center of Image Mass,Image 1,1,ATM,0,
37844.3,60652.9,-67.7434,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,1,
37838,60665.2,-65.774,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,2,
37842.9,60657.6,-59.7095,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,3,
37841.6,60648.8,-54.3598,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,4,
37836.9,60662.7,-53.4215,um,Cell,1,Cell Center of Image Mass,Image 1,1,TVC,5,
