
Cell BoundingBoxOO Length
 ==================== 
Cell BoundingBoxOO Length A,Cell BoundingBoxOO Length B,Cell BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
19.5059,21.9893,45.1828,um,Cell,Cell BoundingBoxOO Length,1,ATM,0,
15.5297,23.3142,45.3112,um,Cell,Cell BoundingBoxOO Length,1,ATM,1,
13.716,19.7557,24.816,um,Cell,Cell BoundingBoxOO Length,1,TVC,2,
12.8336,13.0096,20.2185,um,Cell,Cell BoundingBoxOO Length,1,TVC,3,
13.1795,17.6445,23.7127,um,Cell,Cell BoundingBoxOO Length,1,TVC,4,
12.5185,14.3561,19.6518,um,Cell,Cell BoundingBoxOO Length,1,TVC,5,
