
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
44113.5,37809.9,17.6403,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,4,
44166.6,37761,6.17091,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
