
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,Default Labels,ID,
16.8582,um,Surface,1,TVCgroup,0,
43.9048,um,Surface,1,ATMgroup,1,
