
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
33414.7,92609.8,160.152,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,3,
33473.5,92670.4,164.455,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
