
Cell Center of Image Mass Ch=2 Img=1
 ==================== 
Cell Center of Image Mass X,Cell Center of Image Mass Y,Cell Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
36545.2,69932.8,21.4489,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,1,
36539.4,69947.5,21.237,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,2,
36534.3,69940,24.6962,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,3,
36543.1,69932.7,32.8279,um,Cell,2,Cell Center of Image Mass,Image 1,1,ATM,4,
36500.6,69956.1,47.4452,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,7,
36510.6,69961,52.91,um,Cell,2,Cell Center of Image Mass,Image 1,1,TVC,8,
