
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.58676,um,Surface,1,TVCgroup,0,
6.37431,um,Surface,1,ATMgroup,4,
