
Nucleus Relative To Cell Distance from Origin
 ==================== 
Nucleus Relative To Cell Distance from Origin,Unit,Category,Collection,Time,Default Labels,CellID,ID,
6.6421,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,1,100000000,
1.78662,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,ATM,2,100000001,
2.10909,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,3,100000002,
2.26789,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,4,100000003,
0.824999,um,Nucleus,Nucleus Relative To Cell Distance from Origin,1,TVC,7,100000006,
