
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
37342,92057.4,21.8173,um,Surface,1,Center of Image Mass,Image 1,1,ATMgroup,4,
37402.1,92078.6,43.0316,um,Surface,1,Center of Image Mass,Image 1,1,TVCgroup,0,
