
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default Labels,ID,
37012.9,53757.3,-0.81043,um,Surface,Position,1,ATMgroup,1,
37049,53716.1,-5.83396,um,Surface,Position,1,TVCgroup,0,
