
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
8.11055,um,Surface,1,ATMgroup,0,
6.94132,um,Surface,1,TVCgroup,1,
