
Cell Cytoplasm Area
 ==================== 
Cell Cytoplasm Area,Unit,Category,Time,Default Labels,ID,
1092.21,um^2,Cell,1,TVC,2,
679.337,um^2,Cell,1,TVC,4,
789.86,um^2,Cell,1,TVC,5,
1339.27,um^2,Cell,1,TVC,6,
3320.47,um^2,Cell,1,ATM,7,
2509.57,um^2,Cell,1,ATM,9,
