
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
45636.2,46049.3,79.3612,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,4,
45706.3,46086,58.0292,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
