
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,Default Labels,ID,
2722.76,um^2,Cell,1,TVC,0,
1498.1,um^2,Cell,1,TVC,1,
4204.16,um^2,Cell,1,ATM,2,
4264.19,um^2,Cell,1,ATM,3,
2261.89,um^2,Cell,1,TVC,4,
