
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
43075.3,61999.4,110.662,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,4,
43114.4,62051,135.196,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
