
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,Default Labels,ID,
-0.687662,-0.348927,0.636687,um,Surface,Ellipsoid Axis B,1,ATMgroup,0,
0.550338,-0.095592,0.829452,um,Surface,Ellipsoid Axis B,1,TVCgroup,2,
