
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
6.66392,um,Surface,1,ATMgroup,0,
8.07917,um,Surface,1,TVCgroup,2,
