
Cell Cytoplasm Volume
 ==================== 
Cell Cytoplasm Volume,Unit,Category,Time,Default Labels,ID,
570.39,um^3,Cell,1,TVC,2,
845.724,um^3,Cell,1,TVC,4,
1906.24,um^3,Cell,1,TVC,5,
1965.21,um^3,Cell,1,TVC,7,
3926.27,um^3,Cell,1,ATM,10,
4496.04,um^3,Cell,1,ATM,11,
