
Cell Ellipsoid Axis Length A
 ==================== 
Cell Ellipsoid Axis Length A,Unit,Category,Time,Default Labels,ID,
9.6593,um,Cell,1,ATM,1,
9.71407,um,Cell,1,ATM,2,
7.4032,um,Cell,1,TVC,3,
6.55309,um,Cell,1,TVC,4,
4.56597,um,Cell,1,TVC,5,
4.66772,um,Cell,1,TVC,8,
