
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,Default Labels,ID,
36322.9,65572,25.2764,um,Surface,2,Center of Image Mass,Image 1,1,ATMgroup,1,
36281.4,65608.7,6.35569,um,Surface,2,Center of Image Mass,Image 1,1,TVCgroup,0,
