
Nucleus BoundingBoxAA Length
 ==================== 
Nucleus BoundingBoxAA Length X,Nucleus BoundingBoxAA Length Y,Nucleus BoundingBoxAA Length Z,Unit,Category,Collection,Time,Default Labels,CellID,ID,
6.53906,6.82422,8.44958,um,Nucleus,Nucleus BoundingBoxAA Length,1,ATM,4,100000004,
7.39063,6.82422,8.0271,um,Nucleus,Nucleus BoundingBoxAA Length,1,ATM,5,100000005,
4.83594,5.40625,7.18214,um,Nucleus,Nucleus BoundingBoxAA Length,1,TVC,0,100000000,
4.83203,5.11719,7.18214,um,Nucleus,Nucleus BoundingBoxAA Length,1,TVC,1,100000001,
5.97266,5.11719,7.18214,um,Nucleus,Nucleus BoundingBoxAA Length,1,TVC,2,100000002,
5.40625,5.40234,8.87206,um,Nucleus,Nucleus BoundingBoxAA Length,1,TVC,3,100000003,
