
Cell Volume
 ==================== 
Cell Volume,Unit,Category,Time,Default Labels,ID,
7159.85,um^3,Cell,1,ATM,1,
10413.1,um^3,Cell,1,ATM,2,
2073.33,um^3,Cell,1,TVC,7,
2083.28,um^3,Cell,1,TVC,8,
918.858,um^3,Cell,1,TVC,9,
1220.32,um^3,Cell,1,TVC,10,
