
Cell BoundingBoxOO Length
 ==================== 
Cell BoundingBoxOO Length A,Cell BoundingBoxOO Length B,Cell BoundingBoxOO Length C,Unit,Category,Collection,Time,Default Labels,ID,
22.7867,23.9181,50.3367,um,Cell,Cell BoundingBoxOO Length,1,ATM,2,
22.7124,30.793,55.3235,um,Cell,Cell BoundingBoxOO Length,1,ATM,3,
12.6972,14.965,18.4482,um,Cell,Cell BoundingBoxOO Length,1,TVC,10,
12.6854,15.2547,18.6457,um,Cell,Cell BoundingBoxOO Length,1,TVC,11,
11.3974,17.221,17.2615,um,Cell,Cell BoundingBoxOO Length,1,TVC,12,
11.3961,20.4944,22.9195,um,Cell,Cell BoundingBoxOO Length,1,TVC,13,
